company,location,total_laid_off,date,announcement_date_verified,percentage_laid_off,industry,sourceweb,stage,funds_raised,country,notes,source,ai_mentioned
NetApp,"San Jose, California, USA",700,04/28/2025,,,Hardware,https://www.calcalistech.com/ctechnews/article/bjfqkgbglx,Post-IPO,,United States,"Is reportedly eliminating 700 jobs, affecting 6% of its total workforce, as it reorganizes for its operational efficiency. The company, based in San Francisco, provides data storage, cloud services, and CloudOps solutions for businesses.",techcrunch,1
Electronic Arts,"Redwood City, California, USA",,04/29/2025,,,Media,https://www.bloomberg.com/news/articles/2025-04-29/electronic-arts-lays-off-hundreds-cancels-titanfall-game,Post-IPO,,United States,"Is reportedly letting go of approximately 300 to 400 employees, including around 100 at Respawn Entertainment, to focus on its ¡°long-term strategic priorities,¡± according to Bloomberg.",techcrunch,0
Expedia,"Seattle, Washington, USA",500,04/29/2025,,,Media,https://finance.yahoo.com/news/expedia-restructures-product-tech-teams-153000366.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAAMwbf4Ui78KsWVV6iEAipemeFB1X-PMZENsadXSwGHuJ1ffrA6agXIGuZUR-JYUUOFWlnMmwE6iMtGTbrwgglj_n83P_496rt2ad4eFyG4rkRLsBcyvcmtne8W8RexCFqbU42XD006uAWtc1yxT9cm6f1m5crT2qCowDdvCUqy-,Post-IPO,,United States,Is laying off around 3% of its employees as part of its restructuring. The job cuts will mainly affect midlevel positions in the product and technology teams. The latest round of layoffs comes after the company let go of hundreds of employees from its marketing team globally in early March.,techcrunch,1
Meta,"Menlo Park, California, USA",100,04/25/2025,,,Media,https://www.theverge.com/meta/655835/meta-layoffs-reality-labs-vr-supernatural,Post-IPO,,United States,"Is letting go of over 100 employees in its Reality Labs division, which manages virtual reality and wearable technology, according to The Verge. The job cuts affect employees developing VR experiences for Meta¡¯s Quest headsets and staff working on hardware operations to streamline similar work between the two teams.",techcrunch,1
Intel,"Santa Clara, California","21,800",04/22/2025,,,Hardware,https://techcrunch.com/2025/04/22/intel-reportedly-plans-to-lay-off-over-21000-employees/,Post-IPO,,United States,"Announced its plan to lay off more than 21,000 employees, or roughly 20% of its workforce, in April. The move comes ahead of Intel¡¯s Q1 earnings call helmed by recently appointed CEO Lip-Bu Tan, who took over from longtime chief Pat Gelsinger last year.",techcrunch,1
GM,"Detroit, Michigan, USA",200,04/10/2025,,,Hardware,https://www.freep.com/story/money/cars/2025/04/10/gm-layoff-factory-zero-employees-detroit-hamtramck/83024254007/,Post-IPO,,United States,"Is laying off 200 people at its Factory Zero in Detroit and Hamtramck facility in Michigan, which produces GM¡¯s electric vehicles. The cuts come amid the EV slowdown and is not caused by tariffs, according to a report.",techcrunch,0
Five9,"San Ramon, California, USA",120,04/03/2025,,,SaaS,https://www.marketwatch.com/story/five9-to-cut-4-of-workforce-cd4da325,Post-IPO,,United States,"Plans to cut 123 jobs, affecting about 4% of its workforce, according to a report by MarketWatch. The software company prioritizes key strategic areas like artificial intelligence for profitable growth.",techcrunch,1
Google,"Mountain View, California, USA",,04/11/2025,,,Consumer,https://www.theinformation.com/briefings/google-lays-hundreds-employees-android-pixel-group,Post-IPO,,United States,"Has laid off hundreds of employees in its platforms and devices division, which covers Android, Pixel phones, the Chrome browser, and more, according to The Information.",techcrunch,1
Microsoft,"Redmond, Washington, USA",,04/09/2025,,,SaaS,https://www.businessinsider.com/microsoft-mulls-more-job-cuts-managers-non-coders-2025-4,Post-IPO,,United States,"Is contemplating additional layoffs that could happen by May, Business Insider reported, citing anonymous sources. The company is said to be discussing reducing the number of middle managers and non-coders in a bid to increase the ratio of programmers to product managers.",techcrunch,1
Block ,"San Francisco, California, USA",931,03/25/2025,,,Fintech,https://techcrunch.com/2025/03/25/read-the-email-jack-dorsey-sent-when-he-cut-931-of-blocks-staff/,Post-IPO,,United States,"Let go of 931 employees, around 8% of its workforce, as part of a reorganization, according to an internal email seen by TechCrunch. Jack Dorsey, the co-founder and CEO of the fintech company, wrote in the email that the layoffs were not for financial reasons or to replace workers with AI.",techcrunch,0
Siemens ,"Munich, Germany","2,000¨C3,000",03/18/2025,,,Hardware,https://press.siemens.com/global/en/pressrelease/siemens-strengthen-competitiveness-automation-business-and-electric-vehicle-charging,Post-IPO,,Germany,"Announced plans to let go of approximately 5,600 jobs globally in its automation and electric-vehicle charging businesses as part of efforts to improve competitiveness.",techcrunch,1
HelloFresh,"Grand Prairie, Texas, USA",273,03/13/2025,,,Consumer,https://www.dallasnews.com/business/retail/2025/03/13/hellofresh-cutting-over-270-jobs-closing-grand-prairie-site/,Post-IPO,,United States,"Is reportedly laying off 273 employees, closing its distribution center in Grand Prairie, Texas, and consolidating to another site in Irving to manage the volume in the region.",techcrunch,0
Wayfair,"Boston, Massachusetts, USA",340,03/07/2025,,,Retail,https://finance.yahoo.com/news/retailer-wayfair-restructures-technology-team-135556649.html?guccounter=1,Post-IPO,,United States,Announced plans to let go of 340 employees in its technology division as part of a new restructuring effort.,techcrunch,1
HPE,"Houston, Texas, USA",2500,03/06/2025,,,Hardware,https://www.cnbc.com/2025/03/06/hewlett-packard-enterprise-hpe-q1-earnings-report-2025.html,Post-IPO,,United States,"Will cut 2,500 employees, or 5% of its total staff, in response to its shares sliding 19% in the first fiscal quarter.",techcrunch,1
LiveRamp,"San Francisco, California, USA",65,03/07/2025,,,SaaS,https://www.benzinga.com/news/guidance/25/03/44189581/saas-company-liveramp-lays-off-5-of-full-time-workforce-amid-strategic-restructuring,Post-IPO,,United States,"Announced it will lay off 65 employees, affecting 5% of its total workforce.",techcrunch,0
HP,"Palo Alto, California, USA",2000,02/28/2025,,,Hardware,https://www.etnownews.com/technology/flipkart-shuts-down-ans-commerce-after-3-years-lays-off-employees-amid-e-commerce-restructuring-details-article-118657546,Post-IPO,,United States,"Will cut up to 2,000 jobs as part of its ¡°Future Now¡± restructuring plan that hopes to save the company $300 million before the end of its fiscal year.",techcrunch,0
Autodesk,"San Francisco, California, USA",1350,02/27/2025,,,SaaS,https://www.sec.gov/Archives/edgar/data/769397/000076939725000013/ceoemployeeannouncement.htm,Post-IPO,,United States,"Announced plans to lay off 1,350 employees, affecting 9% of its total workforce, in an attempt to reshape its GTM model. The company is also making reductions in its facilities, though it does not plan to close any offices.",techcrunch,1
Google,"Mountain View, California, USA",,02/27/2025,,,Consumer ,https://www.cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html,Post-IPO,,United States,Is planning to cut employees in its People Operations and cloud organizations teams in a new reorganization effort. The company is offering a voluntary exit program to U.S.-based People Operations employees.,techcrunch,1
Nautilus,"Seattle, Washington, USA",25,02/27/2025,,,Healthcare,https://www.geekwire.com/2025/nautilus-biotechnology-layoffs-16-of-workforce-plans-release-of-commercial-platform-in-2026/,Post-IPO,,United States,"Reduced its headcount by 25 employees, accounting for 16% of its total workforce. The company is planning to release a commercial version of its proteome analysis platform in 2026.",techcrunch,0
eBay ,"Netanya, Israel",20,02/26/2025,,,Retail,https://www.calcalistech.com/ctechnews/article/bjgsl8n9yl,Post-IPO,,Israel,"Will reportedly cut a few dozen employees in Israel, potentially affecting 10% of its 250-person workforce in the country.",techcrunch,0
Starbucks,"Seattle, Washington, USA",,02/25/2025,,,Consumer,https://www.bloomberg.com/news/articles/2025-02-25/starbucks-to-outsource-some-tech-work-after-corporate-shake-up,Post-IPO,,United States,"Cut 1,100 jobs in a reorganizing effort that affected its tech workers. The coffee chain will now outsource some tech work to third-party employees.",techcrunch,1
Dayforce,"Minneapolis, Minnesota, USA",480,02/26/2025,,,SaaS,https://www.marketwatch.com/story/dayforce-to-cut-about-5-of-workforce-in-efficiency-drive-2eabda38?mod=investing,Post-IPO,,United States,Will cut roughly 5% of its current workforce in a new efficiency drive to increase profitability and growth.,techcrunch,0
Expedia,"Seattle, Washington, USA",1500,02/25/2025,,,Consumer,https://www.geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/,Post-IPO,,United States,"Laid off more employees in a new effort to cut costs, though the total number is unknown. Last year, the travel giant cut about 1,500 roles in its Product & Technology division.",techcrunch,1
Redfin,"Seattle, Washington, USA",450,02/12/2025,,,Real Estate,https://www.realestatenews.com/2025/02/12/redfin-to-cut-450-roles-following-zillow-rentals-deal,Post-IPO,,United States,"Announced in an SEC filing that it will cut around 450 positions between February and July 2025, with a complete restructuring set to be completed in the fall, following its new partnership with Zillow.",techcrunch,0
Unity ,"San Francisco, California, USA",200,02/10/2025,,,SaaS,https://www.theverge.com/news/610165/unity-layoffs-2025-runtime-fee,Post-IPO,,United States,Reportedly conducted another round of layoffs. It¡¯s unknown how many employees were affected.,techcrunch,1
JustWorks,"New York, New York, USA",200,02/10/2025,,,SaaS,https://www.justworks.com/press/company-news/a-note-from-justworks-ceo-mike-seckler,Post-IPO,,United States,"Cut nearly 200 employees, CEO Mike Seckler announced in a note to employees, citing ¡°potential adverse events¡± like a recession or rising interest rates.",techcrunch,1
Sprinklr,"New York, USA",500,02/06/2025,,,SaaS ,https://techcrunch.com/2025/02/06/sprinklr-cuts-500-employees-citing-underwhelming-business-performance/,Post-IPO,,United States,"Laid off about 500 employees, affecting 15% of its workforce, citing poor business performance. The new cuts follow two earlier layoff rounds for the company that affected roughly 200 employees.",techcrunch,1
Sonos,"Santa Barbara, California, USA",200,02/05/2025,,,Hardware,https://www.theverge.com/news/607022/sonos-february-layoffs-app-problems,Post-IPO,,United States,"Reportedly let go of approximately 200 employees, according to The Verge. The company previously cut 100 employees as part of a layoff round in August 2024. ",techcrunch,0
Workday ,"Pleasanton, California, USA",1750,02/05/2025,,,SaaS,https://techcrunch.com/2025/02/05/workday-cuts-nearly-2000-employees/,Post-IPO,,United States,"Laid off 1,750 employees, as originally reported by Bloomberg and confirmed independently by TechCrunch. The cuts affect roughly 8.5% of the enterprise HR platform¡¯s total headcount.",techcrunch,1
Okta,"San Francisco, California, USA",180,02/04/2025,,,SaaS,https://techcrunch.com/2025/02/04/okta-lays-off-180-employees-nearly-one-year-after-last-workforce-reduction/,Post-IPO,,United States,"Laid off 180 employees, the company confirmed to TechCrunch. The cuts come just over one year after the access and identity management giant let go of 400 workers.",techcrunch,0
Salesforce,"San Francisco, California, USA",1000,02/04/2025,,,SaaS,https://www.bloomberg.com/news/articles/2025-02-04/salesforce-cutting-1-000-roles-while-hiring-salespeople-for-ai,Post-IPO,,United States,"Is reportedly eliminating more than 1,000 jobs. The cuts come as the giant is actively recruiting and hiring workers to sell new AI products.",techcrunch,1
Amazon,"Seattle, Washington",,01/29/2025,,,Retail,https://www.bloomberg.com/news/articles/2025-01-29/amazon-cuts-dozens-of-corporate-jobs-in-latest-round-of-layoffs,Post-IPO,,United States,"Laid off dozens of workers in its communications department in order to help the company ¡°move faster, increase ownership, strengthen our culture, and bring teams closer to customers.¡±",techcrunch,0
Meta,"Menlo Park, California, USA",3600,01/04/2025,,,Media ,https://techcrunch.com/2025/01/21/stripe-is-laying-off-300-people-but-says-it-still-plans-to-hire-in-2025/,Post-IPO,,United States,"Announced in an internal memo that it will cut 5% of its staff targeting ¡°low performers¡± as the company prepares for ¡°an intense year.¡± As of its latest quarterly report, Meta currently has more than 72,000 employees.",techcrunch,1
Wayfair,Germany,730,01/10/2025,,,Retail,https://www.cnbc.com/2025/01/10/wayfair-to-exit-germany-cut-730-jobs-in-latest-layoffs.html,Post-IPO,,Germany,"Will cut up to 730 jobs, affecting 3% of its total workforce, as it plans to exit operations in Germany and focus on physical retailers.",techcrunch,0
SolarEdge Technologies,"Herzliya, Israel",400,01/06/2025,,,Hardware,https://www.reuters.com/business/energy/solaredge-technologies-lay-off-400-employees-globally-2025-01-06/,Post-IPO,,Israel,Plans to lay off 400 employees globally. It¡¯s the company¡¯s fourth layoff round since January 2024 as the solar industry as a whole faces a downturn.,techcrunch,0
Oracle,Austin,491,3/31/2026,,,Data,https://www.reuters.com/business/world-at-work/oracle-begins-cutting-thousands-jobs-cnbc-reports-2026-03-31/,Post-IPO,,United States,WARN subset,crunchbase,0
Synopsys,SF Bay Area,55,3/25/2026,,,Hardware,https://whatnow.com/news/trending/prominent-electronic-design-automation-company-to-lay-off-55-at-sunnyvale-site/,Post-IPO,,United States,,crunchbase,0
OpenText,Waterloo,880,3/24/2026,,0.04,Data,https://betakit.com/opentext-employees-report-job-cuts-tied-to-apparent-restructuring/,Post-IPO,1000,Canada,Approx from 4%,crunchbase,0
Spotify,Stockholm,15,3/23/2026,,0.03,Media,https://frontofficesports.com/spotify-lays-off-15-employees-multiple-ringer-staffers/,Post-IPO,2060,Sweden,Unit-specific,crunchbase,0
Snowflake,Bozeman,70,3/19/2026,,,Data,https://www.businessinsider.com/snowflake-layoffs-strategy-ai-growth-2026-3,Post-IPO,1560,United States,,crunchbase,0
Ubisoft,Raleigh,105,3/19/2026,,,Media,https://finance.yahoo.com/sectors/technology/articles/ubisoft-lays-off-105-staff-171338594.html,Post-IPO,2900,France,Studio-specific,crunchbase,0
Autodesk,SF Bay Area,1000,1/22/2026,,0.07,Other,https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,Post-IPO,,United States,,crunchbase,1
Verizon,New York City,13000,11/20/2025,,,Consumer,https://www.reuters.com/business/world-at-work/verizon-cutting-more-than-13000-jobs-it-restructures-2025-11-20/,Post-IPO,6600,United States,,crunchbase,0
Amazon,Seattle,14000,10/27/2025,,,Retail,https://www.reuters.com/sustainability/amazon-lay-off-about-14000-roles-2025-10-28/,Post-IPO,8,United States,,crunchbase,1
Microsoft,Seattle,9000,7/2/2025,,0.04,Other,https://www.reuters.com/business/world-at-work/microsoft-lay-off-many-9000-employees-seattle-times-reports-2025-07-02/,Post-IPO,,United States,,crunchbase,0
CrowdStrike,Austin,500,5/7/2025,,0.05,Security,https://www.reuters.com/sustainability/crowdstrike-lay-off-5-staff-reaffirms-forecasts-2025-05-07/,Post-IPO,481,United States,,crunchbase,0
Workday,SF Bay Area,1750,2/5/2025,,0.085,Other,https://www.reuters.com/business/workday-cut-85-its-workforce-2025-02-05/,Post-IPO,85,United States,,crunchbase,1
Dropbox,SF Bay Area,528,10/30/2024,,0.2,Data,https://techcrunch.com/2024/10/30/dropbox-is-laying-off-20-of-its-staff/,Post-IPO,1700,United States,Strategy shift,crunchbase,0
Tesla,Austin,14000,4/15/2024,,0.1,Transportation,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,Post-IPO,408,United States,Reported >10%,crunchbase,0
Expedia,Seattle,1500,2/26/2024,,0.09,Consumer,https://www.reuters.com/technology/expedia-cut-about-1500-jobs-latest-restructuring-2024-02-26/,Post-IPO,,United States,,crunchbase,0
DocuSign,SF Bay Area,400,2/6/2024,,0.06,Other,https://www.reuters.com/technology/docusign-cut-6-its-workforce-part-restructuring-plan-2024-02-06/,Post-IPO,540,United States,,crunchbase,0
Okta,SF Bay Area,400,2/1/2024,,0.07,Security,https://techcrunch.com/2024/02/01/okta-layoffs-400-employees/,Post-IPO,230,United States,,crunchbase,0
Block,SF Bay Area,1000,1/30/2024,,0.077,Finance,https://www.reuters.com/technology/jack-dorseys-block-starts-cutting-jobs-under-previously-disclosed-plan-source-2024-01-30/,Post-IPO,590,United States,Approx from plan,crunchbase,0
PayPal,SF Bay Area,2500,1/30/2024,,0.09,Finance,https://www.reuters.com/business/payments-firm-paypal-cut-around-2500-jobs-bloomberg-news-2024-01-30/,Post-IPO,216,United States,,crunchbase,0
SAP,Walldorf,8000,1/24/2024,,0.07,Other,https://www.reuters.com/technology/sap-announces-company-wide-restructuring-updates-2025-outlook-2024-01-23/,Post-IPO,,Germany,,crunchbase,1
eBay,SF Bay Area,1000,1/23/2024,,0.09,Retail,https://www.reuters.com/business/ebay-slash-1000-jobs-scale-back-contracts-2024-01-24/,Post-IPO,11.2,United States,,crunchbase,0
Wayfair,Boston,1650,1/19/2024,,0.13,Retail,https://www.reuters.com/business/retail-consumer/wayfair-cut-1650-jobs-2024-01-19/,Post-IPO,1300,United States,,crunchbase,0
Unity,SF Bay Area,1800,1/8/2024,,0.25,Media,https://www.reuters.com/technology/unity-software-cutting-25-staff-company-reset-continuation-2024-01-08/,Post-IPO,894,United States,,crunchbase,0
Xerox,Norwalk,3000,1/3/2024,,0.15,Hardware,https://www.cbsnews.com/news/xerox-layoffs-15-percent-workers-printers/,Post-IPO,,United States,Approx from 15%,crunchbase,0
Spotify,Stockholm,1500,12/4/2023,,0.17,Media,https://www.reuters.com/technology/spotify-reduce-staff-by-17-second-layoff-this-year-2023-12-04/,Post-IPO,2060,Sweden,,crunchbase,0
Nokia,Espoo,14000,10/19/2023,,,Hardware,https://www.reuters.com/business/media-telecom/nokia-sales-drop-slowing-5g-gear-demand-2023-10-19/,Post-IPO,,Finland,Up to figure,crunchbase,0
Amazon,Seattle,9000,3/20/2023,,,Retail,https://www.reuters.com/technology/amazon-lay-off-9000-more-workers-cnbc-2023-03-20/,Post-IPO,8,United States,,crunchbase,0
Meta,SF Bay Area,10000,3/14/2023,,,Consumer,https://www.reuters.com/technology/facebook-parent-meta-lay-off-10000-employees-second-round-job-cuts-2023-03-14/,Post-IPO,25600,United States,,crunchbase,0
Twilio,SF Bay Area,1500,2/13/2023,,0.17,Other,https://www.reuters.com/technology/twilio-cut-17-staff-close-offices-focus-profitability-2023-02-13/,Post-IPO,234,United States,,crunchbase,0
Zoom,SF Bay Area,1300,2/7/2023,,0.15,Other,https://www.reuters.com/technology/zoom-cut-headcount-by-15-2023-02-07/,Post-IPO,157,United States,,crunchbase,0
eBay,SF Bay Area,500,2/7/2023,,0.04,Retail,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,Post-IPO,11.2,United States,,crunchbase,0
Dell,Austin,6650,2/6/2023,,0.05,Hardware,https://www.reuters.com/technology/dell-slash-about-6650-jobs-bloomberg-news-2023-02-06/,Post-IPO,,United States,,crunchbase,0
PayPal,SF Bay Area,2000,1/31/2023,,0.07,Finance,https://www.reuters.com/technology/paypal-lay-off-7-its-workforce-2023-01-31/,Post-IPO,,United States,,crunchbase,0
Alphabet,SF Bay Area,12000,1/20/2023,,0.06,AI,https://www.reuters.com/business/google-parent-lay-off-12000-workers-memo-2023-01-20/,Post-IPO,,United States,,crunchbase,1
Microsoft,Seattle,10000,1/18/2023,,,Other,https://www.reuters.com/technology/microsoft-cut-10000-jobs-tech-layoffs-intensify-2023-01-18/,Post-IPO,,United States,,crunchbase,0
HP,SF Bay Area,6000,11/22/2022,,0.12,Hardware,https://www.reuters.com/business/hp-cut-up-6000-jobs-2022-11-22/,Post-IPO,5250,United States,,crunchbase,0
Amazon,Seattle,10000,11/14/2022,,,Retail,https://www.reuters.com/business/retail-consumer/amazon-plans-lay-off-10000-people-starting-this-week-nyt-2022-11-14/,Post-IPO,8,United States,Early report,crunchbase,0
Meta,SF Bay Area,11000,11/9/2022,,0.13,Consumer,https://www.reuters.com/technology/meta-cut-more-than-11000-jobs-one-biggest-us-layoffs-this-year-2022-11-09/,Post-IPO,25600,United States,,crunchbase,0
Robinhood,SF Bay Area,780,8/2/2022,,0.23,Finance,https://www.reuters.com/technology/robinhood-cutting-workforce-by-23-2022-08-02/,Post-IPO,5600,United States,Second round,crunchbase,0
Shopify,Ottawa,1000,7/26/2022,,0.1,Retail,https://www.reuters.com/business/retail-consumer/shopify-lay-off-10-workforce-wsj-2022-07-26/,Post-IPO,122,Canada,,crunchbase,0
